Date;Allemagne, Taux d'inflation;France, Taux d'inflation;Zone euro, Taux d'inflation;Allemagne, Taux de chômage (CVS);France, Taux de chômage (CVS);Zone euro, Taux de chômage (CVS);Allemagne, solde des finances publiques (% PIB);France, solde des finances publiques (% PIB);Zone euro, solde des finances publiques (% PIB);Allemagne, Solde structurel des finances publiques (en % du PIB);Zone euro, Solde structurel des finances publiques (en % du PIB);France, Solde structurel des finances publiques (en % du PIB);Zone euro, Crédit aux SNF, taux de croissance annuel;Zone euro, Crédit aux ménages, taux de croissance annuel;Crédits accordés aux sociétés non financières résidentes, taux de croissance annuel;Crédits accordés aux ménages et ISBLSM résidents, taux de croissance annuel;Taux de croissance du PIB en % - Allemagne;Taux de croissance du PIB en % - France;Taux de croissance du PIB en % - Zone Euro
01/03/2020;1,3;0,8;0,7;;;;;;;;;;4,8;3,4;7,5;5,8729;;;
01/02/2020;1,7;1,6;1,2;3,166798;8,076034;7,296884;;;;;;;2,4;3,8;5,1;6,5232;;;
01/01/2020;1,6;1,7;1,4;3,186517;8,157016;7,351357;;;;;;;2,6;3,7;5,4;6,4278;;;
01/12/2019;1,5;1,6;1,3;3,191877;8,169237;7,362684;;;;;;;2,6;3,5;5,1;6,3117;;;
01/11/2019;1,2;1,2;1;3,179652;8,203844;7,394685;;;;;;;2,6;3,3;5,9;6,2;;;
01/10/2019;0,9;0,9;0,7;3,152335;8,274821;7,425003;;;;;;;3,1;3,3;6,4;6,209;;;
01/09/2019;0,9;1,1;0,8;3,121452;8,377345;7,504167;;;;;;;2,9;3,2;6,2;6,2735;;;
01/08/2019;1;1,3;1;3,102224;8,508167;7,511432;;;;;;;3,5;3,2;7,2;6,0115;;;
01/07/2019;1,1;1,3;1;3,099398;8,52179;7,572277;;;;;;;3,3;3,2;7,3;6,0387;;;
01/06/2019;1,5;1,4;1,3;3,113383;8,48735;7,5443;;;;;;;3,3;3,2;7,2;5,8517;;;
01/05/2019;1,3;1,1;1,2;3,137716;8,454738;7,575718;;;;;;;2,8;3,1;6,8;5,8214;;;
01/04/2019;2,1;1,5;1,7;3,16511;8,493016;7,620308;;;;;;;2,8;3,2;6,7;5,7794;;1,3;1,1
01/03/2019;1,4;1,3;1,4;3,190316;8,598964;7,664909;;;;;;;2,5;3,1;6,4;5,7298;;;
01/02/2019;1,7;1,6;1,5;3,212174;8,655491;7,760727;;;;;;;2,7;3,2;6,3;5,5746;;;
01/01/2019;1,7;1,4;1,4;3,233128;8,717928;7,80059;;;;;;;2,3;3,2;6,2;5,4674;0,7;1,2;1,2
01/12/2018;1,7;1,9;1,5;3,258845;8,779088;7,836178;;;;;;;2,9;3;6,1;5,5884;;;
01/11/2018;2,2;2,2;1,9;3,291262;8,803035;7,904117;;;;;;;3,1;3,2;6,2;5,7221;;;
01/10/2018;2,6;2,5;2,3;3,328385;8,885521;7,99775;;;;;;;2,9;3,2;5,7;5,6952;0,6;1,1;1,2
01/09/2018;2,2;2,5;2,1;3,364123;8,979689;7,998881;;;;;;;3,3;3,1;5,9;5,6125;;;
01/08/2018;2,1;2,6;2,1;3,390276;9,022986;8,032685;;;;;;;3,2;3,1;5,7;5,7248;;;
01/07/2018;2,2;2,6;2,2;3,408525;9,037578;8,095316;;;;;;;3,1;3,3;5,3;5,6692;1,2;1,5;1,7
01/06/2018;2,1;2,3;2;3,419487;9,044974;8,220211;;;;;;;2,7;3;6;5,4591;;;
01/05/2018;2,5;2,3;2;3,42692;9,100668;8,25741;;;;;;;2,9;3;5,8;5,5732;;;
01/04/2018;1,3;1,8;1,2;3,436452;9,143066;8,381198;;;;;;;2,5;3;5,1;5,6502;2;1,9;2,2
01/03/2018;1,7;1,7;1,4;3,454292;9,173331;8,450876;;;;;;;2,4;3;5,3;5,5966;;;
01/02/2018;1,2;1,3;1,1;3,480108;9,192864;8,515018;;;;;;;2,2;2,9;5,5;5,7386;;;
01/01/2018;1,5;1,5;1,3;3,513597;9,15961;8,604075;;;;;;;2,4;3,1;5,5;5,9869;2,1;2,4;2,5
01/12/2017;1,5;1,2;1,3;3,554821;9,040668;8,634003;;;;;;;2;3,2;6,2;6,0776;;;
01/11/2017;1,7;1,2;1,5;3,600914;9,042401;8,707865;;;;;;;1,8;3,1;5,5;5,9704;;;
01/10/2017;1,5;1,2;1,4;3,645531;9,182259;8,781781;;;;;;;1,8;3,1;6;6,0162;2,8;3;2,8
01/09/2017;1,9;1,1;1,6;3,688203;9,373083;8,88079;;;;;;;1,5;3;5,5;5,8586;;;
